0:   1,   1 0 1 
 921:  18,  12 0101201 12 
 922:  18,  13 1101201 13 
 923:  18,  14 2101201 14 
 924:  18,  13 0201201 13 
 925:  18,  14 1201201 14 
 926:  18,  15 2201201 15 
 927:  18,  12 0011201 12 
 928:  18,  13 1011201 13 
 929:  18,  14 2011201 14 
 930:  18,  13 0111201 13 
 931:  18,  14 1111201 14 
 932:  18,  15 2111201 15 
 933:  18,  14 0211201 14 
 934:  18,  15 1211201 15 
 935:  18,  16 2211201 16 
 936:  18,  13 0021201 13 
 937:  18,  14 1021201 14 
 938:  18,  15 2021201 15 
 939:  18,  14 0121201 14 
 940:  18,  15 1121201 15 
 941:  18,  16 2121201 16 
 942:  18,  15 0221201 15 
 943:  18,  16 1221201 16 
 944:  18,  17 2221201 17 
 945:  18,  12 0002201 12 
 946:  18,  13 1002201 13 
 947:  18,  14 2002201 14 
 948:  18,  13 0102201 13 
 949:  18,  14 1102201 14 
 950:  18,  15 2102201 15 
 951:  18,  14 0202201 14 
 952:  18,  15 1202201 15 
 953:  18,  16 2202201 16 
 954:  18,  13 0012201 13 
 955:  18,  14 1012201 14 
 956:  18,  15 2012201 15 
 957:  18,  14 0112201 14 
 958:  18,  15 1112201 15 
 959:  18,  16 2112201 16 
 960:  18,  15 0212201 15 
 961:  18,  16 1212201 16 
 962:  18,  17 2212201 17 
 963:  18,  14 0022201 14 
 964:  18,  15 1022201 15 
 965:  18,  16 2022201 16 
 966:  18,  15 0122201 15 
 967:  18,  16 1122201 16 
 968:  18,  17 2122201 17 
 969:  18,  16 0222201 16 
 970:  18,  17 1222201 17 
 971:  18,  18 2222201 18 
 972:  18,   9 0000011 9 
 973:  18,  10 1000011 10 
 974:  18,  11 2000011 11 
 975:  18,  10 0100011 10 
 976:  18,  11 1100011 11 
 977:  18,  12 2100011 12 
 978:  18,  11 0200011 11 
 979:  18,  12 1200011 12 
 980:  18,  13 2200011 13 
 981:  18,  10 0010011 10 
 982:  18,  11 1010011 11 
 983:  18,  12 2010011 12 
 984:  18,  11 0110011 11 
 985:  18,  12 1110011 12 
 986:  18,  13 2110011 13 
 987:  18,  12 0210011 12 
 988:  18,  13 1210011 13 
 989:  18,  14 2210011 14 
 990:  18,  11 0020011 11 
 991:  18,  12 1020011 12 
 992:  18,  13 2020011 13 
 993:  18,  12 0120011 12 
 994:  18,  13 1120011 13 
 995:  18,  14 2120011 14 
 996:  18,  13 0220011 13 
 997:  18,  14 1220011 14 
 998:  18,  15 2220011 15 
 999:  18,  10 0001011 10 
1000:  18,  11 1001011 11
